To,From
Dione vanillae,Hydroptila arctia
Dione vanillae,Hydroptila icona
Dione vanillae,Hydroptila rono
Dione vanillae,Leucotrichia sarita
Dione vanillae,Neotrichia sepulga
Dione vanillae,Ochrotrichia lucia
Dione vanillae,Ochrotrichia rothi
Dione vanillae,Ochrotrichia spinulata
Dione vanillae,Pogonomyrmex rugosus
Dione vanillae,Vanessa atalanta
Hydroptila arctia,Hydroptila icona
Hydroptila arctia,Hydroptila rono
Hydroptila arctia,Leucotrichia sarita
Hydroptila arctia,Neotrichia sepulga
Hydroptila arctia,Ochrotrichia lucia
Hydroptila arctia,Ochrotrichia rothi
Hydroptila arctia,Ochrotrichia spinulata
Hydroptila arctia,Pogonomyrmex rugosus
Hydroptila arctia,Vanessa atalanta
Hydroptila icona,Hydroptila rono
Hydroptila icona,Leucotrichia sarita
Hydroptila icona,Neotrichia sepulga
Hydroptila icona,Ochrotrichia lucia
Hydroptila icona,Ochrotrichia rothi
Hydroptila icona,Ochrotrichia spinulata
Hydroptila icona,Pogonomyrmex rugosus
Hydroptila icona,Vanessa atalanta
Hydroptila rono,Leucotrichia sarita
Hydroptila rono,Neotrichia sepulga
Hydroptila rono,Ochrotrichia lucia
Hydroptila rono,Ochrotrichia rothi
Hydroptila rono,Ochrotrichia spinulata
Hydroptila rono,Pogonomyrmex rugosus
Hydroptila rono,Vanessa atalanta
Leucotrichia sarita,Neotrichia sepulga
Leucotrichia sarita,Ochrotrichia lucia
Leucotrichia sarita,Ochrotrichia rothi
Leucotrichia sarita,Ochrotrichia spinulata
Leucotrichia sarita,Pogonomyrmex rugosus
Leucotrichia sarita,Vanessa atalanta
Neotrichia sepulga,Ochrotrichia lucia
Neotrichia sepulga,Ochrotrichia rothi
Neotrichia sepulga,Ochrotrichia spinulata
Neotrichia sepulga,Pogonomyrmex rugosus
Neotrichia sepulga,Vanessa atalanta
Ochrotrichia lucia,Ochrotrichia rothi
Ochrotrichia lucia,Ochrotrichia spinulata
Ochrotrichia lucia,Pogonomyrmex rugosus
Ochrotrichia lucia,Vanessa atalanta
Ochrotrichia rothi,Ochrotrichia spinulata
Ochrotrichia rothi,Pogonomyrmex rugosus
Ochrotrichia rothi,Vanessa atalanta
Ochrotrichia spinulata,Pogonomyrmex rugosus
Ochrotrichia spinulata,Vanessa atalanta
Pogonomyrmex rugosus,Vanessa atalanta
Anthanassa texana,Ascalapha odorata
Anthanassa texana,Ascia monuste
Anthanassa texana,Battus philenor
Anthanassa texana,Chimarra laguna
Anthanassa texana,Cycloneda sanguinea
Anthanassa texana,Danaus gilippus
Anthanassa texana,Euptoieta hegesia
Anthanassa texana,Hydroptila icona
Anthanassa texana,Hyles lineata
Anthanassa texana,Leucotrichia limpia
Anthanassa texana,Leucotrichia mutica
Anthanassa texana,Leucotrichia sarita
Anthanassa texana,Neotrichia sepulga
Anthanassa texana,Ochrotrichia lucia
Anthanassa texana,Oxyethira arizona
Anthanassa texana,Oxyethira parce
Anthanassa texana,Pachylia syces
Anthanassa texana,Periplaneta americana
Anthanassa texana,Philolithus aegrotus
Anthanassa texana,Phoebis agarithe
Anthanassa texana,Polistes palmarum
Anthanassa texana,Pseudoleon superbus
Anthanassa texana,Urbanus dorantes
Anthanassa texana,Urbanus proteus
Anthanassa texana,Vanessa cardui
Ascalapha odorata,Ascia monuste
Ascalapha odorata,Battus philenor
Ascalapha odorata,Chimarra laguna
Ascalapha odorata,Cycloneda sanguinea
Ascalapha odorata,Danaus gilippus
Ascalapha odorata,Euptoieta hegesia
Ascalapha odorata,Hydroptila icona
Ascalapha odorata,Hyles lineata
Ascalapha odorata,Leucotrichia limpia
Ascalapha odorata,Leucotrichia mutica
Ascalapha odorata,Leucotrichia sarita
Ascalapha odorata,Neotrichia sepulga
Ascalapha odorata,Ochrotrichia lucia
Ascalapha odorata,Oxyethira arizona
Ascalapha odorata,Oxyethira parce
Ascalapha odorata,Pachylia syces
Ascalapha odorata,Periplaneta americana
Ascalapha odorata,Philolithus aegrotus
Ascalapha odorata,Phoebis agarithe
Ascalapha odorata,Polistes palmarum
Ascalapha odorata,Pseudoleon superbus
Ascalapha odorata,Urbanus dorantes
Ascalapha odorata,Urbanus proteus
Ascalapha odorata,Vanessa cardui
Ascia monuste,Battus philenor
Ascia monuste,Chimarra laguna
Ascia monuste,Cycloneda sanguinea
